Species,MSW2,MSW3,Country,native,Family,Genus,sex,PM4,CsupL,Lat,Long,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,2.99,1.16,61.80,15.85,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.12,1.16,63.67,14.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Aland,native,Mustelidae,Mustela,Female,3.16,1.16,60.15,19.97,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.28,1.16,56.38,14.30,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.46,1.16,57.90,16.17,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Washington,native,Mustelidae,Mustela,Female,3.20,1.17,46.05,-117.83,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Norway,native,Mustelidae,Mustela,Female,2.90,1.17,61.72,10.20,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Male,2.92,1.17,39.97,-83.00,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Romania,native,Mustelidae,Mustela,Female,3.02,1.17,45.62,22.95,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Ohio,native,Mustelidae,Mustela,Female,3.04,1.17,41.62,-81.32,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Switzerland,native,Mustelidae,Mustela,Female,3.16,1.17,46.40,9.82,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Switzerland,native,Mustelidae,Mustela,Female,3.25,1.17,46.93,9.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.35,1.17,57.90,16.17,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.51,1.17,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,2.95,1.18,58.42,15.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Michigan,native,Mustelidae,Mustela,Female,3.01,1.18,42.27,-83.73,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.02,1.18,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.04,1.18,63.60,15.35,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.09,1.18,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.09,1.18,63.38,14.88,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Male,3.09,1.18,63.67,14.62,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Alaska,native,Mustelidae,Mustela,Female,3.17,1.18,71.30,-156.78,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.20,1.18,63.60,15.35,,,,
Mustela erminea,Mustela erminea,Mustela erminea,California,native,Mustelidae,Mustela,Female,3.08,1.19,39.43,-120.22,,,,
Mustela erminea,Mustela erminea,Mustela erminea,Oregon,native,Mustelidae,Mustela,Female,3.16,1.19,45.28,-123.70,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Minnesota,native,Mustelidae,Mustela,Male,2.88,1.19,48.75,-95.53,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.04,1.19,67.85,20.22,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Sweden,native,Mustelidae,Mustela,Female,3.09,1.19,59.58,15.25,,,,
Mustela nivalis,Mustela nivalis,Mustela nivalis,Netherlands,native,Mustelidae,Mustela,Female,3.15,1.19,51.12,5.95,,,,
